post_id,post_url,text,reaction_count,comments_count,share_count,virality_score,author_name,post_type,contains_image,contains_link,keywords,sentiment,emotion,category,topic_category,post_routing_id
1B7V11a33P,https://www.facebook.com/share/p/1B7V11a33P/,"List of student accounts I’ve used till now. Islami Bank Students Mudaraba Savings Account (SMSA) Eastern Bank Daraz Prepaid Card (inactive) **Not a student account** Brac Bank Agami Savers Account Prime Bank Youth Account Dhaka Bank Ezy Account **Not a student account** Trust Bank Trust Youth Account Midland Bank College Saver Account NRBC Bank NewGen Savings Account SIBL I still haven't received the card. It needs 1-2 more weeks All cheque books in the picture are free. (Dhaka, Prime, Brac, Trust, NRBC) Only Islami Bank charges for it.",140,169,9,411.5,Naimur Rahman,text,False,False,"student, accounts, bank, savings, card",Neutral,Neutral,Other,finance,PR_1f9551b885ec
15sAJDYgQB,https://www.facebook.com/share/p/15sAJDYgQB/,Prime Bank PLC Youth Account. Account opening journey in total 7 days. [Bogura Branch] Account open: 11-02-25 cheque book issue message: 11-02-25 Card Issue message: 12-02-25 Cheque & card delivery message: 16-02-25 Cheque & card Received from branch: 18-02-25 Apps quality & Transaction through apps much better.,45,55,2,131.5,Md. Shahariar Ratin,text,False,True,"Prime Bank, Youth Account, account opening, Bogura Branch, cheque book, card issue, apps quality",Positive,Joy,Praise,finance,PR_33e2f359606e
16dHUN2dLw,https://www.facebook.com/share/p/16dHUN2dLw/,"ফ্রি স্টুডেন্ট ও স্ট্যান্ডার্ড চার্টার্ড একাউন্ট সমাচার আসলে এতগুলো একাউন্ট খোলার কারণ হচ্ছে সবথেকে স্মুথেস্ট সার্ভিস কোনো চার্জ ছাড়া কারা প্রোভাইড করে এটা জানা এবং পার্মানেন্টলি একটি ইউজ করা। এখানে জানতে পারবেন কোন একাউন্ট কবে খুলে কতদিনের মধ্যে কার্ড এবং চেক হাতে পেয়েছি, কাদের কার্ড সব থেকে সুপিরিয়র, কোন একাউন্ট এ কত বয়স পর্যন্ত ইউজ করতে পারবেন এবং আমার রেকমেন্ড থাকবে কোন ব্যাংক আপনার ব্যবহার করা উচিত। সর্বোপরি চেষ্টা করবেন যেকোনো ব্যাংক এ ইসলামিক ব্যাংকিং একাউন্ট…",262,184,60,658.0,Shahinoor Rahman,text,True,False,"account, bank, service, Islamic banking",Neutral,Neutral,Inquiry,finance,PR_a6654f9046e0
ShakibShantosSrooedpntcu05732,URL not found - Share button not visible,Assalamu Alaikum everyone. Today I went to prime bank to open a prime youth account and they have provided me this form. Is this the right form for prime youth account?,12,0,0,12.0,Shakib Shantos,text,False,True,"prime bank, youth account, form",Neutral,Confusion,Inquiry,finance,PR_9e7ee47eb868
TauhidIslamShawn1000$10years,URL not found - Share button not visible,Alhamdulillah Prime Bank Card done Passport endorsement: 1000$ 10 years,54,0,0,54.0,Tauhid Islam Shawn,text,False,False,"Prime Bank, Passport endorsement, 1000$, 10 years",Positive,Joy,Praise,finance,PR_1e29808022ca
15sAJDYgQB,https://www.facebook.com/share/p/15sAJDYgQB/,Prime Bank PLC Youth Account. Account opening journey in total 7 days. [Bogura Branch] Account open: 11-02-25 cheque book issue message: 11-02-25 Card Issue message: 12-02-25 Cheque & card delivery message: 16-02-25 Cheque & card Received from branch: 18-02-25 Apps quality & Transaction through apps much better. #PrimeBank #youthaccount,45,55,2,131.5,Md. Shahariar Ratin,text,False,True,"Prime Bank, Youth Account, account opening, Bogura Branch, cheque book, card issue, apps quality",Positive,Joy,Praise,finance,PR_33e2f359606e
1FKS69AxJZ,https://www.facebook.com/share/p/1FKS69AxJZ/,Card 10/10 Prime Bank PLC Youth Savings Account (Zero Charges of 18-25 Y),142,119,3,326.5,Md. Manik,link,False,True,"Prime Bank, Youth Savings Account, Zero Charges",Neutral,Neutral,Other,finance,PR_3ef5b339a545
16n5dLLbHQ,https://www.facebook.com/share/p/16n5dLLbHQ/,Prime bank youth account er mastercard ki ALL ATM access ase? যেকোনো এটিএম থেকে টাকা তুলতে পারব?,22,18,1,51.0,Arshad Mahmudd,text,False,False,"prime bank, youth account, mastercard, ATM access",Neutral,Confusion,Inquiry,finance,PR_048617eb2812
16azXwzZ2S,https://www.facebook.com/share/p/16azXwzZ2S/,"Prime Bank er Credit Card ডিটেইলস কেউ কি এক্টু বলবেন? এটার ইয়ারলি চাজ কেমন, সাথে ২০ টার বেশি কেনাকাটা করলে কি ইয়ারলি চাজ কি ফ্রি? #প্রাইম বাংকের ক্রেডিট কার্ড এর সুবিধা-অসুবিধা জানা থাকলে জানাবেন সবাই। #অগ্রিম_ধন্যবাদ_সবাইকে",20,11,0,36.5,Rashed Khand,text,False,False,"Prime Bank, Credit Card, ইয়ারলি চাজ, সুবিধা-অসুবিধা",Neutral,Neutral,Inquiry,finance,PR_246210de6ee0
ShahinoorRahmanPost1,URL not found - Share button not visible,"ফ্রি স্টুডেন্ট ও স্ট্যান্ডার্ড চার্টার্ড একাউন্ট সমাচার আসলে এতগুলো একাউন্ট খোলার কারণ হচ্ছে সবথেকে স্মুথেস্ট সার্ভিস কোনো চার্জ ছাড়া কারা প্রোভাইড করে এটা জানা এবং পার্মানেন্টলি একটি ইউজ করা। এখানে জানতে পারবেন কোন একাউন্ট কবে খুলে কতদিনের মধ্যে কার্ড এবং চেক হাতে পেয়েছি, কাদের কার্ড সব থেকে সুপিরিয়র, কোন একাউন্ট এ কত বয়স পর্যন্ত ইউজ করতে পারবেন এবং আমার রেকমেন্ড থাকবে কোন ব্যাংক আপনার ব্যবহার করা উচিত। সর্বোপরি চেষ্টা করবেন যেকোনো ব্যাংক এ ইসলামিক ব্যাংকিং একাউন্ট…",262,184,60,658.0,Shahinoor Rahman,text,True,False,"account, service, bank, Islamic banking, recommendation",Neutral,Neutral,Inquiry,finance,PR_e4dde04256b5
1FKS69AxJZ,https://www.facebook.com/share/p/1FKS69AxJZ/,Prime Bank PLC Youth Savings Account (Zero Charges of 18-25 Y),142,119,3,326.5,Md. Manik,link,False,True,"Prime Bank, Youth Savings Account, Zero Charges",Neutral,Neutral,Other,finance,PR_3ef5b339a545
16hzUFVGPi,https://www.facebook.com/share/p/16hzUFVGPi/,আচ্ছা বর্তমানে prime bank এ কি Savings account এ এমন same color এর Visa/Mastercard দেয় তারা White Color এর? অথবা অন্য কোনো Bank এ এমন White color Mastercard Debit দেয় কেউ? Pic টা আরেকজন এর।,14,148,3,242.0,Khairul Islam Bablu,text,False,False,"prime bank, Savings account, Visa, Mastercard, White color, Debit",Neutral,Confusion,Inquiry,finance,PR_50c6242cda04
16azXwzZ2S,https://www.facebook.com/share/p/16azXwzZ2S/,"Prime Bank er Credit Card ডিটেইলস কেউ কি এক্টু বলবেন? এটার ইয়ারলি চাজ কেমন, সাথে ২০ টার বেশি কেনাকাটা করলে কি ইয়ারলি চাজ কি ফ্রি? #প্রাইম বাংকের ক্রেডিট কার্ড এর সুবিধা-অসুবিধা জানা থাকলে জানাবেন সবাই। #অগ্রিম_ধন্যবাদ_সবাইকে",20,11,0,36.5,Rashed Khand,text,False,True,"Prime Bank, Credit Card, ইয়ারলি চাজ, সুবিধা-অসুবিধা",Neutral,Confusion,Inquiry,finance,PR_246210de6ee0
16cna9SpKU,https://www.facebook.com/share/p/16cna9SpKU/,"একজন সাধারণ ব্যবহারকারী হিসেবে আমার চেষ্টা থাকে সবসময় বিভিন্ন ব্যাংকের সেবা ও সুবিধাগুলো যাচাই করে দেখা। কার কোথায় অফার ভালো, কার সার্ভিস কেমন, কোন ব্যাংকে বিদেশ ট্রানজেকশন সহজ, আবার কোনটায় অ্যাপ সাপোর্ট ভালো—এসব বিষয় মাথায় রেখেই এই কার্ড কালেকশন। এই পোস্টের উদ্দেশ্য কোনো কিছু জাহির করা নয়, বরং— → নতুন গ্রাহকদের গাইড করা → ব্যাংকগুলোর সার্ভিস সম্পর্কে আলোচনা শুরু করা → অভিজ্ঞতা শেয়ার করা IFIC- Amar Account City- High Value Saving Account Prime- Prime Savings Account MDB- College Saver Account EBL- Daraz Prepaid Card MTB- MTB Simple Account MDB- Prepaid Card আপনিও কি বিভিন্ন ব্যাংকের কার্ড ব্যবহার করেন? কোনটা আপনার ফেভারিট? আর কোন ব্যাংকের সার্ভিসে হতাশ হয়েছেন? নিচে কমেন্টে জানিয়ে দিন!",49,44,4,123.0,Kamruj Z Akash,text,False,False,"ব্যাংক, সেবা, অফার, ট্রানজেকশন, অ্যাপ সাপোর্ট, কার্ড",Neutral,Neutral,Inquiry,finance,PR_4ae9335964ce
1BA1LooEcL,https://www.facebook.com/share/p/1BA1LooEcL/,"NRBC Newgen savings account এর ফিচার দেখে এবং গ্রুপে সবার ভাইব দেখে এর একাউন্ট খুলে ফেললাম। একাউন্টের ফিচার সমূহ হল: ১৮-৩২ পর্যন্ত সকল চার্জ ফ্রি, প্রথম ১০ পাতা চেক বই ফ্রি, ডেবিট কার্ড ফ্রি ৩২ বছর পর্যন্ত। বি:দ্র: Atm both কম, অন্য ATM এ টাকা তুললে প্রতি ট্রানজেকশনে ১৫ টাকা কাটে, npsb তে ১০ টাকা চার্জ কাটে Account Review; Account opening :12-05-2025 Check book collect :21-05-2025 Card recived:01-06-2025 এটি visa card, dual currency supported.কার্ডের ই-কমার্স বন্ধ থাকে ব্যাংক থেকে অন করে নিতে হয় প্রথমে। ব্যাংকের কর্মকর্তারা অনেক আন্তরিক ছিল। খুব ভদ্রতার সাথে এখন খুলে দেয়। অ্যাকাউন্ট খুলতে কোন প্রকার ঝামেলার সম্মুখীন হওয়া লাগেনি। অ্যাকাউন্ট খুলতে যা যা প্রয়োজনীয় : ১.নিজের এন আইডি + ২ কপি ছবি ২.নমিনির এনআইডি +২ কপি ছবি ৩.স্টুডেন্ট আইডি কার্ড ৪.বিদ্যুৎ বিলের ফটোকপি",60,33,5,119.5,,text,False,True,"NRBC, savings account, free, ATM, visa card, bank",Positive,Joy,Praise,finance,PR_527dc81d5233
15r2hvM1nH,https://www.facebook.com/share/p/15r2hvM1nH/,Here all of my bank account details are given below. 1. Bank Name: Brac Bank Account Type: Current Campus Ac Account Maintenance fee: Free Card fee: 345 SMS Alert fee: Free 2. Bank Name: City Bank Account Type: General Savings Ac Account Maintenance fee: It will depend upon your average balance. Card fee: 575 SMS Alert fee: 345 3. Bank Name: UCB Account Type: Student Account Maintenance fee: Free Card fee: 287.50 SMS Alert fee: Free 4. Bank Name: EBL Account Type: EBL Campus Ac Account Maintenance fee: Free Card fee: 575 SMS Alert fee: 345 5. Bank Name: IBBL Account Type: Student Account Maintenance fee: Free Card fee: Free SMS Alert fee: Free 6. Bank Name: AB Account Type: Student Account Maintenance fee: Free Card fee: 345 SMS Alert fee: 172.5 7. Bank Name: IFIC Account Type: Shohoj Ac Account Maintenance fee: Free Card fee: 345 SMS Alert fee: 57.5 8. Bank Name: Midland Bank Account Type: MDB College Saver Account Maintenance fee: Free Card fee: Free SMS Alert fee: Free 9. Bank Name: AIBL Account Type: Savings Account Maintenance fee: It will depend upon your average balance. Card fee: 575 SMS Alert fee: 115 10. Bank Name: DBBL Account Type: Student Account Maintenance fee: Free Card fee: 230 SMS Alert fee: 115,199,102,12,376.0,Riad Hossain,text,False,False,"bank, account, details, fees, Brac Bank, City Bank, UCB, EBL, IBBL, AB, IFIC, Midland Bank, AIBL, DBBL",Neutral,Neutral,Other,finance,PR_9805b1bab9df
prime_bank_youth_account_inquiry,URL not found - Share button not visible,Prime bank youth account er mastercard ki ALL ATM access ase? যেকোনো এটিএম থেকে টাকা তুলতে পারব?,22,0,0,22.0,Arshad Mahmudd,text,False,False,"prime bank, youth account, mastercard, ATM access",Neutral,Confusion,Inquiry,finance,PR_56dd09b8854b
RashedKhandSnosprtoe6,URL not found - Share button not visible,"Prime Bank er Credit Card ডিটেইলস কেউ কি এক্টু বলবেন? এটার ইয়ারলি চাজ কেমন, সাথে ২০ টার বেশি কেনাকাটা করলে কি ইয়ারলি চাজ কি ফ্রি? #প্রাইম বাংকের ক্রেডিট কার্ড এর সুবিধা-অসুবিধা জানা থাকলে জানাবেন সবাই। #অগ্রিম_ধন্যবাদ_সবাইকে",20,0,0,20.0,Rashed Khand,text,False,False,"Prime Bank, Credit Card, ইয়ারলি চাজ, সুবিধা-অসুবিধা",Neutral,Neutral,Inquiry,finance,PR_d0ab590973dd
KamrujZAkashopetnoSdrs9g0mft0u0ai77lfa0207i021c,URL not found - Share button not visible,"একজন সাধারণ ব্যবহারকারী হিসেবে আমার চেষ্টা থাকে সবসময় বিভিন্ন ব্যাংকের সেবা ও সুবিধাগুলো যাচাই করে দেখা। কার কোথায় অফার ভালো, কার সার্ভিস কেমন, কোন ব্যাংকে বিদেশ ট্রানজেকশন সহজ, আবার কোনটায় অ্যাপ সাপোর্ট ভালো—এসব বিষয় মাথায় রেখেই এই কার্ড কালেকশন। এই পোস্টের উদ্দেশ্য কোনো কিছু জাহির করা নয়, বরং— → নতুন গ্রাহকদের গাইড করা → ব্যাংকগুলোর সার্ভিস সম্পর্কে আলোচনা শুরু করা → অভিজ্ঞতা শেয়ার করা IFIC- Amar Account City- High Value Saving Account Prime- Prime Savings Account MDB- College Saver Account EBL- Daraz Prepaid Card MTB- MTB Simple Account MDB- Prepaid Card আপনিও কি বিভিন্ন ব্যাংকের কার্ড ব্যবহার করেন? কোনটা আপনার ফেভারিট? আর কোন ব্যাংকের সার্ভিসে হতাশ হয়েছেন? নিচে কমেন্টে জানিয়ে দিন!",49,0,0,49.0,Kamruj Z Akashopetno,text,False,False,"ব্যাংক, সেবা, অফার, ট্রানজেকশন, অ্যাপ, গ্রাহক, অভিজ্ঞতা",Neutral,Neutral,Inquiry,finance,PR_8e215d171d1f
